Source,srcPort,Destination,destPort,firstSize,secondSize,threeSize,flowSize
130.57.89.66,80,190.84.172.115,51084,66,64,1438,4767
135.110.241.192,80,190.84.172.115,51243,66,64,1518,11266
135.110.241.192,80,190.84.172.115,51244,66,1518,1351,2935
135.110.241.192,80,190.84.172.115,51248,66,1518,1518,4620
135.110.241.192,80,190.84.172.115,51249,66,1518,1167,2751
135.110.241.192,80,190.84.172.115,51250,66,1518,1309,2893
135.110.241.192,80,190.84.172.115,51254,66,1518,1337,2921
135.110.241.192,80,190.84.172.115,51256,66,1518,1122,2706
135.110.241.192,80,190.84.172.115,51257,66,1518,1290,2874
135.110.241.192,80,190.84.172.115,51258,66,1518,1285,2869
135.110.241.192,80,190.84.172.115,51261,66,1518,1177,2761
135.110.241.192,80,190.84.172.115,51262,66,1518,1273,2857
135.110.241.192,80,190.84.172.115,51263,66,1518,1348,2932
135.110.241.192,80,190.84.172.115,51264,66,1518,1319,2903
140.207.181.132,80,190.84.172.101,3697,64,64,1518,2521
140.207.181.132,80,190.84.172.101,3698,64,64,1341,1533
141.165.240.103,80,190.84.172.101,4923,66,64,380,53746
141.165.240.103,80,190.84.172.101,4924,66,198,199,3957
143.219.240.164,25,190.84.172.89,1060,78,154,70,1131
143.219.240.164,2501,190.84.172.89,113,78,70,79,437
167.175.34.80,80,190.84.172.89,1156,78,70,800,13648
167.175.34.80,80,190.84.172.89,1157,78,70,654,942
168.26.185.187,80,190.84.172.89,1149,78,70,800,3872
175.211.82.112,21,190.84.172.89,1334,64,95,133,484
175.211.82.86,80,190.84.172.89,1342,64,64,686,942
175.211.82.86,80,190.84.172.89,1343,64,64,788,103816
176.151.16.197,80,190.84.172.115,51491,78,1518,1518,27791
176.151.16.197,80,190.84.172.115,51495,78,1518,1518,4336
176.151.16.197,80,190.84.172.115,51499,78,1518,698,2294
176.151.16.197,80,190.84.172.115,51500,78,1518,1112,2708
176.151.16.197,80,190.84.172.115,51501,78,1518,1518,34056
176.151.16.197,80,190.84.172.115,51502,78,1518,1243,24846
176.151.16.197,80,190.84.172.115,51503,78,1518,1518,6438
176.151.16.197,80,190.84.172.115,51504,78,1518,1518,29893
176.151.16.197,80,190.84.172.115,51514,78,1518,1518,31742
176.151.16.197,80,190.84.172.115,51518,78,1518,1518,30428
176.151.16.197,80,190.84.172.115,51519,78,1518,1518,29248
176.151.16.197,80,190.84.172.115,51552,78,1518,1518,77893
176.151.16.197,80,190.84.172.115,51554,78,471,555,1104
176.151.16.197,80,190.84.172.115,51556,78,863,560,1501
176.151.16.197,80,190.84.172.115,51563,78,1466,360,1904
176.151.16.197,80,190.84.172.115,51567,78,1518,897,2493
176.151.16.197,80,190.84.172.115,51568,78,1518,1518,4463
176.151.16.197,80,190.84.172.115,51572,78,1518,1518,3832
176.151.16.197,80,190.84.172.115,51578,78,1518,1518,3239
176.151.16.197,80,190.84.172.115,51579,78,1518,1518,3601
176.151.16.197,80,190.84.172.115,51580,78,1518,1518,8197
176.151.16.197,80,190.84.172.115,51581,78,1518,1518,8715
176.151.16.197,80,190.84.172.115,51582,78,1518,1518,4744
176.151.16.197,80,190.84.172.115,51583,78,1518,1518,3349
176.151.16.197,80,190.84.172.115,51584,78,1518,856,2452
176.151.16.197,80,190.84.172.115,51587,78,357,359,794
176.151.16.197,80,190.84.172.115,51590,78,444,393,6964
176.151.16.197,80,190.84.172.115,51593,78,1518,1518,3982
176.151.16.81,80,190.84.172.115,51633,78,1518,1518,201533
176.151.16.81,80,190.84.172.115,51637,78,1518,1273,2869
176.151.16.81,80,190.84.172.115,51638,78,1518,1518,4578
176.151.16.81,80,190.84.172.115,51639,78,1518,1518,29352
176.151.16.81,80,190.84.172.115,51640,78,1518,1518,39483
176.151.16.81,80,190.84.172.115,51641,78,635,64,777
176.151.16.81,80,190.84.172.115,51642,78,1518,1518,3766
176.151.173.15,80,190.84.172.115,51647,78,70,159,95035
176.151.173.15,80,190.84.172.115,51648,78,337,431,846
176.151.173.15,80,190.84.172.115,51650,78,377,560,1015
176.151.173.15,80,190.84.172.115,51656,78,1518,1518,5022
176.151.173.15,80,190.84.172.115,51660,78,1518,1518,4801
176.151.173.15,80,190.84.172.115,51661,78,1518,701,2297
176.151.173.15,80,190.84.172.115,51665,78,1518,438,2034
176.151.173.15,80,190.84.172.115,51667,78,1518,273,1869
176.151.173.15,80,190.84.172.115,51670,78,1518,737,2333
176.151.173.15,80,190.84.172.115,51672,78,1518,591,3992
176.151.173.15,80,190.84.172.115,51674,78,1518,461,2057
176.151.173.15,80,190.84.172.115,51676,78,359,355,792
176.151.173.15,80,190.84.172.115,51682,78,772,505,1355
176.151.173.15,80,190.84.172.115,51683,78,1518,189,1785
176.151.173.15,80,190.84.172.115,51694,78,1518,1518,4336
181.222.21.31,6699,190.84.172.74,1169,66,64,64,322
185.189.59.160,80,190.84.172.89,1106,78,70,632,920
188.108.72.10,80,190.84.172.129,1819,66,1518,1518,387542
188.108.72.10,80,190.84.172.129,1820,66,1518,1518,12052
189.198.73.173,80,190.84.172.89,1169,82,1518,82,7215
189.30.187.252,80,190.84.172.101,3734,64,64,233,1507
189.30.187.252,80,190.84.172.101,3735,64,236,1340,85745
189.30.187.252,80,190.84.172.101,3737,64,64,234,2152
189.30.187.252,80,190.84.172.101,3738,64,234,316,678
189.30.248.192,21,190.84.172.101,3702,66,99,64,1663
189.30.248.192,3695,190.84.172.101,3703,66,1518,1518,2510221
189.30.248.192,80,190.84.172.101,3699,66,64,1518,7531
189.30.248.192,80,190.84.172.101,3730,66,64,301,495
189.30.248.192,80,190.84.172.101,3739,66,64,558,752
189.85.11.14,80,190.84.172.89,1053,64,64,570,8432
189.85.11.14,80,190.84.172.89,1054,64,64,556,812
190.55.223.222,80,190.84.172.101,3740,66,64,1518,3518
190.55.223.222,80,190.84.172.101,3741,66,64,676,934
190.55.223.222,80,190.84.172.101,3742,66,64,1518,2400
190.55.223.222,80,190.84.172.101,3743,66,64,1518,8481
190.55.223.222,80,190.84.172.101,3744,66,64,1518,1648
190.55.223.222,80,190.84.172.101,3745,66,64,1518,1648
190.55.223.222,80,190.84.172.101,3746,66,64,1518,440458
190.55.223.222,80,190.84.172.101,3747,66,64,1518,431213
190.84.16.19,80,190.84.172.101,3633,64,64,1518,18155
190.84.16.19,80,190.84.172.101,3635,64,64,1518,5549
190.84.16.19,80,190.84.172.101,3666,64,64,1518,10693
190.84.16.19,80,190.84.172.101,3667,64,1249,64,1377
190.84.16.23,1119,190.84.172.115,49155,66,117,88,679
190.84.16.23,1119,190.84.172.115,49200,66,118,88,744
190.84.16.23,1119,190.84.172.115,49206,66,117,88,679
190.84.16.23,1119,190.84.172.115,49212,66,117,88,679
190.84.16.23,1119,190.84.172.115,49215,66,118,88,23599
190.84.16.23,1119,190.84.172.130,49154,66,117,88,1637
190.84.16.23,1119,190.84.172.176,49154,66,117,88,679
190.84.16.23,1119,190.84.172.176,49175,66,117,64,311
190.84.16.23,1119,190.84.172.176,49192,66,117,88,679
190.84.16.23,1119,190.84.172.176,49193,66,117,64,311
190.84.16.23,1119,190.84.172.176,49223,66,117,88,679
190.84.16.23,1119,190.84.172.176,49224,66,117,64,311
190.84.16.23,1119,190.84.172.176,49227,66,117,88,679
190.84.16.23,1119,190.84.172.177,1079,64,117,88,647
190.84.16.23,1119,190.84.172.179,49193,66,118,88,5608
190.84.16.23,1119,190.84.172.179,49211,66,117,64,1079
190.84.16.23,1119,190.84.172.74,1054,64,118,88,580
190.84.16.23,1119,190.84.172.74,1068,64,117,88,3889
190.84.16.23,1119,190.84.172.74,1069,64,118,88,637
190.84.16.23,1119,190.84.172.91,49152,66,118,64,5419
190.84.16.23,119,190.84.172.89,1032,66,153,153,2024243
190.84.16.23,119,190.84.172.89,1880,66,153,153,1534771
190.84.16.49,80,190.84.172.101,3045,64,209,1518,8991
190.84.16.49,80,190.84.172.101,3046,64,154,1299,1581
190.84.16.49,80,190.84.172.101,3047,64,153,895,1176
190.84.16.49,80,190.84.172.101,3048,64,64,154,2339
190.84.16.49,80,190.84.172.101,3049,64,153,864,1145
190.84.16.49,80,190.84.172.101,3050,64,154,1518,2370
190.84.16.49,80,190.84.172.101,3051,64,154,1518,2370
190.84.16.49,80,190.84.172.101,3052,64,154,1518,2290
190.84.16.49,80,190.84.172.101,3053,64,153,889,1170
190.84.16.49,80,190.84.172.101,3054,64,153,896,1177
190.84.16.49,80,190.84.172.101,3055,64,154,1518,2399
190.84.16.49,80,190.84.172.101,3056,64,154,1518,2201
190.84.16.49,80,190.84.172.101,3057,64,154,1518,2356
190.84.16.49,80,190.84.172.101,3058,64,154,1518,2114
190.84.16.49,80,190.84.172.101,3059,64,154,1518,1911
190.84.16.49,80,190.84.172.101,3060,64,153,1012,1293
190.84.16.49,80,190.84.172.101,3061,64,153,885,1166
190.84.16.49,80,190.84.172.101,3062,64,161,1518,7835
190.84.16.49,80,190.84.172.101,3063,64,154,1299,1581
190.84.16.49,80,190.84.172.101,3064,64,153,895,1176
190.84.16.49,80,190.84.172.101,3065,64,154,1518,2275
190.84.16.49,80,190.84.172.101,3066,64,154,1518,2370
190.84.16.49,80,190.84.172.101,3067,64,64,154,2434
190.84.16.49,80,190.84.172.101,3068,64,64,153,1234
190.84.16.49,80,190.84.172.101,3069,64,64,153,1241
190.84.16.49,80,190.84.172.101,3070,64,154,1518,2290
190.84.16.49,80,190.84.172.101,3071,64,154,1518,2399
190.84.16.49,80,190.84.172.101,3072,64,153,864,1145
190.84.16.49,80,190.84.172.101,3073,64,154,1518,2201
190.84.16.49,80,190.84.172.101,3074,64,154,1518,2356
190.84.16.49,80,190.84.172.101,3075,64,154,1518,2114
190.84.16.49,80,190.84.172.101,3076,64,154,1518,1911
190.84.16.49,80,190.84.172.101,3077,64,153,885,1166
190.84.16.49,80,190.84.172.101,3078,64,153,1012,1293
190.84.16.49,80,190.84.172.101,3079,64,153,295,576
190.84.16.49,80,190.84.172.101,3080,64,161,1518,12345
190.84.16.49,80,190.84.172.101,3081,64,153,895,1176
190.84.16.49,80,190.84.172.101,3082,64,154,1299,1581
190.84.16.49,80,190.84.172.101,3083,64,154,1518,2275
190.84.16.49,80,190.84.172.101,3084,64,153,864,1145
190.84.16.49,80,190.84.172.101,3085,64,154,1518,2370
190.84.16.49,80,190.84.172.101,3086,64,154,1518,2370
190.84.16.49,80,190.84.172.101,3087,64,154,1518,2290
190.84.16.49,80,190.84.172.101,3088,64,153,889,1170
190.84.16.49,80,190.84.172.101,3089,64,153,896,1177
190.84.16.49,80,190.84.172.101,3090,64,154,1518,2201
190.84.16.49,80,190.84.172.101,3091,64,154,1518,2399
190.84.16.49,80,190.84.172.101,3092,64,64,154,2420
190.84.16.49,80,190.84.172.101,3093,64,154,1518,2114
190.84.16.49,80,190.84.172.101,3094,64,154,1518,1911
190.84.16.49,80,190.84.172.101,3095,64,153,885,1166
190.84.16.49,80,190.84.172.101,3096,64,153,1012,1293
190.84.16.49,80,190.84.172.101,3097,64,153,341,622
190.84.16.49,80,190.84.172.101,3098,64,153,310,591
190.84.16.49,80,190.84.172.101,3099,64,153,334,615
190.84.16.49,80,190.84.172.101,3100,64,153,295,576
190.84.16.49,80,190.84.172.101,3101,64,153,320,601
190.84.16.49,80,190.84.172.101,3102,64,153,327,608
190.84.16.49,80,190.84.172.101,3103,64,161,1518,11877
190.84.16.49,80,190.84.172.101,3104,64,154,1299,1581
190.84.16.49,80,190.84.172.101,3105,64,153,864,1145
190.84.16.49,80,190.84.172.101,3106,64,153,895,1176
190.84.16.49,80,190.84.172.101,3107,64,154,1518,1911
190.84.16.49,80,190.84.172.101,3108,64,154,1518,2275
190.84.16.49,80,190.84.172.101,3109,64,154,1518,2370
190.84.16.49,80,190.84.172.101,3110,64,154,1518,2290
190.84.16.49,80,190.84.172.101,3111,64,153,889,1170
190.84.16.49,80,190.84.172.101,3112,64,153,896,1177
190.84.16.49,80,190.84.172.101,3113,64,64,154,2265
190.84.16.49,80,190.84.172.101,3114,64,154,1518,2399
190.84.16.49,80,190.84.172.101,3115,64,154,1518,2356
190.84.16.49,80,190.84.172.101,3116,64,154,1518,2114
190.84.16.49,80,190.84.172.101,3117,64,153,885,1166
190.84.16.49,80,190.84.172.101,3118,64,153,1012,1293
190.84.16.49,80,190.84.172.101,3119,64,154,1518,2370
190.84.16.49,80,190.84.172.101,3120,64,153,348,629
190.84.16.49,80,190.84.172.101,3121,64,153,320,601
190.84.16.49,80,190.84.172.101,3122,64,153,331,612
190.84.16.49,80,190.84.172.101,3123,64,64,153,665
190.84.16.49,80,190.84.172.101,3124,64,153,295,576
190.84.16.49,80,190.84.172.101,3125,64,153,360,641
190.84.16.49,80,190.84.172.101,3126,64,153,328,609
190.84.16.49,80,190.84.172.101,3127,64,153,304,585
190.84.16.57,25,190.84.172.89,1118,66,155,256,1386
190.84.16.57,80,190.84.172.176,49209,66,152,64,282
190.84.16.79,80,190.84.172.101,3043,64,251,64,379
190.84.16.79,80,190.84.172.101,3044,64,252,249,629
190.84.16.79,80,190.84.172.101,3128,64,1518,1518,10632
190.84.16.79,80,190.84.172.101,3129,64,251,250,1378
190.84.16.79,80,190.84.172.101,3130,64,64,1518,4414
190.84.16.79,80,190.84.172.101,3131,64,64,611,7135
190.84.16.79,80,190.84.172.101,3132,64,617,1518,6433
190.84.16.79,80,190.84.172.101,3152,64,1518,1518,193779
190.84.16.79,80,190.84.172.101,3153,64,1518,1518,190923
190.84.16.79,80,190.84.172.101,3154,64,1518,1518,13859
190.84.16.79,80,190.84.172.101,3285,64,251,64,379
190.84.16.79,80,190.84.172.101,3630,64,251,64,443
190.84.16.79,80,190.84.172.101,3631,64,252,604,5900
190.84.16.79,80,190.84.172.101,3632,64,251,250,1129
190.84.16.79,80,190.84.172.101,3675,64,251,251,630
190.84.16.79,80,190.84.172.101,3694,64,251,251,630
190.84.16.79,80,190.84.172.101,4922,64,1518,1518,16561
190.84.16.79,80,190.84.172.101,4969,64,64,251,443
190.84.16.79,80,190.84.172.129,1746,64,569,251,3028
190.84.16.79,80,190.84.172.129,1747,64,64,251,1259
190.84.16.79,80,190.84.172.129,1825,64,577,250,955
190.84.16.79,80,190.84.172.130,49156,66,252,64,382
190.84.16.79,80,190.84.172.130,49157,66,64,253,383
190.84.16.79,80,190.84.172.143,32854,66,1518,545,2257
190.84.16.79,80,190.84.172.176,49211,66,1518,1411,3059
190.84.16.79,80,190.84.172.176,49212,66,1518,1518,99571
190.84.16.79,80,190.84.172.176,49213,66,396,64,526
190.84.16.79,80,190.84.172.176,49214,66,1518,1518,9315
190.84.16.79,80,190.84.172.176,49215,66,694,1347,2171
190.84.16.79,80,190.84.172.176,49216,66,1518,1518,12787
190.84.16.79,80,190.84.172.176,49217,66,931,64,1061
190.84.16.79,80,190.84.172.176,49218,66,1518,1518,7990
190.84.16.79,80,190.84.172.177,1101,64,396,953,3337
190.84.16.79,80,190.84.172.177,1102,64,1518,1518,5060
190.84.16.79,80,190.84.172.179,49196,66,1518,1518,29537
190.84.16.79,80,190.84.172.179,49204,66,1518,1518,14639
190.84.16.79,80,190.84.172.179,49207,66,1178,64,1308
190.84.16.79,80,190.84.172.179,49208,66,1189,64,1319
190.84.16.79,80,190.84.172.179,49209,66,1518,1518,10692
190.84.16.79,80,190.84.172.179,49210,66,1518,1518,48375
190.84.17.210,443,190.84.172.143,32791,78,70,933,2061
190.84.17.210,443,190.84.172.143,32792,78,70,192,1269
190.84.17.210,443,190.84.172.143,32793,78,70,192,985
190.84.17.210,443,190.84.172.143,32794,78,70,192,1271
190.84.17.210,443,190.84.172.143,32795,78,70,192,11261
190.84.17.210,443,190.84.172.143,32796,78,70,192,2828
190.84.17.210,443,190.84.172.143,32797,78,70,192,1795
190.84.17.210,443,190.84.172.143,32798,78,70,192,1223
190.84.17.210,443,190.84.172.143,32799,78,70,192,8421
190.84.17.210,443,190.84.172.143,32800,78,70,192,98862
190.84.17.210,443,190.84.172.143,32801,78,70,192,1614
190.84.17.210,443,190.84.172.143,32802,78,70,192,2439
190.84.17.210,443,190.84.172.143,32803,78,70,192,1876
190.84.17.210,443,190.84.172.143,32804,78,70,192,2319
190.84.17.210,443,190.84.172.143,32805,78,70,192,2316
190.84.17.210,443,190.84.172.143,32806,78,70,192,1967
190.84.17.210,443,190.84.172.143,32807,78,70,192,1076
190.84.17.210,443,190.84.172.143,32808,78,70,192,2767
190.84.17.210,443,190.84.172.143,32809,78,70,192,1146
190.84.17.210,443,190.84.172.143,32810,78,70,192,1225
190.84.17.210,443,190.84.172.143,32811,78,70,192,1257
190.84.17.210,443,190.84.172.143,32812,78,70,192,1312
190.84.17.210,443,190.84.172.143,32813,78,70,192,1107
190.84.17.210,443,190.84.172.143,32814,78,70,192,1068
190.84.17.210,443,190.84.172.143,32815,78,70,192,1788
190.84.17.210,443,190.84.172.143,32816,78,70,192,8406
190.84.17.210,443,190.84.172.143,32817,78,70,192,4608
190.84.17.210,443,190.84.172.143,32818,78,70,192,1550
190.84.17.210,443,190.84.172.143,32819,78,70,192,1540
190.84.17.210,443,190.84.172.143,32820,78,70,192,1658
190.84.17.210,443,190.84.172.143,32821,78,70,192,1020
190.84.17.210,443,190.84.172.143,32822,78,70,192,1798
190.84.17.210,443,190.84.172.143,32823,78,70,192,2763
190.84.17.210,443,190.84.172.143,32824,78,70,192,2610
190.84.17.210,443,190.84.172.143,32825,78,70,192,2087
190.84.17.210,443,190.84.172.143,32826,78,70,192,2241
190.84.17.210,443,190.84.172.143,32827,78,70,192,2234
190.84.17.210,443,190.84.172.143,32828,78,70,192,5686
190.84.17.210,443,190.84.172.143,32829,78,70,192,4628
190.84.17.210,443,190.84.172.143,32830,78,70,192,1656
190.84.17.210,443,190.84.172.143,32831,78,70,192,1699
190.84.17.210,443,190.84.172.143,32832,78,70,192,1650
