,Source,srcPort,Destination,destPort,firstSize,secondSize,thirdSize,FlowSize
0,132.98.167.71,80,190.84.116.110,54899,74,900,66,1106
1,132.98.167.71,80,190.84.116.110,55164,74,900,66,1106
2,133.130.211.86,2758,190.84.116.190,1411,62,68,1514,2176
3,141.31.192.28,80,190.84.117.134,1986,62,60,60,182
4,141.31.192.28,80,190.84.117.134,1988,62,60,60,182
5,141.31.192.29,80,190.84.117.134,1987,60,60,60,180
6,175.200.114.80,3531,190.84.116.190,1350,62,60,79,381
7,175.204.56.55,80,190.84.116.239,3160,60,1514,,1574
8,175.204.56.55,80,190.84.116.239,3161,60,651,248,5930
9,175.204.56.55,80,190.84.116.239,3162,60,1514,,1574
10,175.204.56.55,80,190.84.116.239,3163,60,249,248,2166
11,175.204.56.55,80,190.84.116.239,3166,60,250,,310
12,175.204.56.55,80,190.84.116.239,3167,60,60,250,2358
13,175.204.56.55,80,190.84.116.239,3318,60,250,1514,4852
14,175.204.56.55,80,190.84.116.239,3319,60,1514,,1574
15,175.204.56.55,80,190.84.116.239,3322,60,250,249,1366
16,175.204.56.55,80,190.84.116.239,3323,60,250,60,430
17,175.204.56.55,80,190.84.116.239,3328,60,250,250,1307
18,175.204.56.55,80,190.84.116.239,3329,60,250,60,370
19,175.204.56.55,80,190.84.116.239,3335,60,250,249,868
20,175.204.56.55,80,190.84.116.239,3338,60,250,249,679
21,175.204.56.55,80,190.84.116.239,3341,60,250,249,868
22,175.204.56.55,80,190.84.116.239,3359,60,,,60
23,175.204.56.55,80,190.84.116.239,3360,60,,,60
24,175.204.56.55,80,190.84.116.239,3363,60,250,248,5100
25,175.204.56.55,80,190.84.116.239,3364,60,1514,,1574
26,175.204.56.55,80,190.84.116.239,3367,60,60,250,2821
27,175.204.56.55,80,190.84.116.239,3372,60,250,1514,6661
28,175.204.56.55,80,190.84.116.239,3373,60,250,249,619
29,175.204.56.55,80,190.84.116.239,3376,60,250,249,559
30,175.204.56.55,80,190.84.116.239,3402,249,249,1514,3526
31,175.204.56.55,80,190.84.116.239,3403,249,249,60,6614
32,175.204.56.55,80,190.84.116.239,3411,60,60,1514,186257
33,175.204.56.55,80,190.84.116.239,3414,60,60,1514,25931
34,175.204.56.55,80,190.84.116.239,3415,60,1514,1514,229072
35,175.204.56.55,80,190.84.116.239,3416,60,60,1514,37059
36,175.212.19.181,3800,190.84.116.190,1372,62,60,68,2176
37,175.92.174.246,80,190.84.116.190,1363,60,510,60,690
38,175.92.174.246,80,190.84.116.201,4140,60,510,60,690
39,175.92.174.246,80,190.84.117.78,1042,60,510,60,690
40,175.92.175.151,80,190.84.116.96,49534,60,606,,666
41,175.92.175.151,80,190.84.116.96,49536,60,1414,1414,8900
42,175.92.175.151,80,190.84.116.96,49537,60,606,,666
43,175.92.175.151,80,190.84.116.96,49538,60,1414,1414,8900
44,175.92.175.215,80,190.84.116.110,55112,60,687,1318,16503
45,175.92.175.215,80,190.84.117.78,1116,60,573,701,45197
46,175.92.175.215,80,190.84.117.78,1119,60,1204,770,3146
47,176.2.200.45,80,190.84.116.239,3221,62,,,62
48,178.246.72.169,80,190.84.117.150,3537,62,60,1514,52859
49,178.246.72.169,80,190.84.117.150,3538,62,60,1514,32101
50,181.224.129.70,80,190.84.117.150,3518,62,60,60,182
51,190.11.154.227,3562,190.84.116.190,1396,62,68,1434,1564
52,190.11.250.58,3080,190.84.116.190,1407,62,60,68,310
53,190.163.68.141,2764,190.84.116.190,1378,60,68,60,188
54,190.182.138.121,2293,190.84.116.190,1400,60,60,60,180
55,190.185.247.212,2136,190.84.116.190,1375,60,60,68,2114
56,190.210.249.103,2554,190.84.116.190,1376,62,68,60,190
57,190.217.58.217,2637,190.84.116.190,1395,62,68,60,2236
58,190.81.89.24,3678,190.84.116.190,1381,62,68,66,256
59,190.81.90.145,2259,190.84.116.190,1417,62,,,62
60,190.81.90.80,3641,190.84.116.190,1412,60,60,68,1822
61,190.81.91.55,3292,190.84.116.190,1413,60,60,60,180
62,190.84.0.197,135,190.84.117.134,1231,60,60,60,180
63,190.84.0.202,135,190.84.117.134,1232,60,60,60,180
64,190.84.0.203,135,190.84.117.134,1233,60,60,60,180
65,190.84.0.205,135,190.84.117.134,1234,60,60,60,180
66,190.84.0.208,135,190.84.117.134,1236,60,60,60,180
67,190.84.0.209,135,190.84.117.134,1235,60,60,60,180
68,190.84.0.210,135,190.84.117.134,1237,60,60,60,180
69,190.84.0.211,135,190.84.117.134,1238,60,60,60,180
70,190.84.0.212,135,190.84.117.134,1240,60,60,60,180
